id,dias_viaje,presupuesto,intereses,origen_turista,idioma,grupo,region_preferida,destino_principal,temporada,instruction,input,output
1,3,bajo,mixto,Lima,español,solo,sierra,Cusco,seca (mayo-octubre),"Genera un itinerario turístico personalizado para el Perú basado en el perfil del viajero. El itinerario debe incluir actividades por día, recomendaciones de transporte, alojamiento según presupuesto y tips culturales relevantes.","Turista de Lima, viaja solo, 3 días, presupuesto bajo, intereses: mixto, región preferida: sierra, destino: Cusco, temporada: seca (mayo-octubre), idioma: español.","Día 1: Llegada y aclimatación. Plaza de Armas y San Blas.
Día 2: Sacsayhuamán y Qorikancha.
Día 3: Valle Sagrado: Pisac, Ollantaytambo.

Alojamiento sugerido: hostal económico (~$20-30/noche)
Tip para solo: Únete a tours grupales para conocer otros viajeros.
Nota de temporada: Es la mejor época para trekking y fotografía. Reserva con anticipación.
Transporte recomendado: combis locales para presupuesto bajo; taxi/remisse para comodidad."
2,3,bajo,mixto,Lima,español,familia con niños,costa,Huacachina,seca (mayo-octubre),"Genera un itinerario turístico personalizado para el Perú basado en el perfil del viajero. El itinerario debe incluir actividades por día, recomendaciones de transporte, alojamiento según presupuesto y tips culturales relevantes.","Turista de Lima, viaja familia con niños, 3 días, presupuesto bajo, intereses: mixto, región preferida: costa, destino: Huacachina, temporada: seca (mayo-octubre), idioma: español.","Día 1: Llegada y aclimatación. Plaza de Armas y San Blas.
Día 2: Sacsayhuamán y Qorikancha.
Día 3: Valle Sagrado: Pisac, Ollantaytambo.

Alojamiento sugerido: hostal económico (~$20-30/noche)
Tip para familia con niños: Elige actividades de bajo impacto físico y lleva snacks.
Nota de temporada: Es la mejor época para trekking y fotografía. Reserva con anticipación.
Transporte recomendado: combis locales para presupuesto bajo; taxi/remisse para comodidad."
3,3,bajo,aventura,Lima,español,adultos mayores,costa,Lima,seca (mayo-octubre),"Genera un itinerario turístico personalizado para el Perú basado en el perfil del viajero. El itinerario debe incluir actividades por día, recomendaciones de transporte, alojamiento según presupuesto y tips culturales relevantes.","Turista de Lima, viaja adultos mayores, 3 días, presupuesto bajo, intereses: aventura, región preferida: costa, destino: Lima, temporada: seca (mayo-octubre), idioma: español.","Día 1: Llegada. Barranco y Miraflores: el Parque del Amor y la Huaca Pucllana.
Día 2: Centro Histórico: Plaza Mayor, Catedral y Larco Mar.
Día 3: Visita al Museo Larco y tarde de ceviche en el Mercado Surquillo.

Alojamiento sugerido: hostal económico (~$20-30/noche)
Tip para adultos mayores: Prefiere rutas con poco desnivel y toma días de aclimatación extra.
Nota de temporada: Es la mejor época para trekking y fotografía. Reserva con anticipación.
Transporte recomendado: combis locales para presupuesto bajo; taxi/remisse para comodidad."
4,3,bajo,aventura,Lima,español,grupo de amigos,sierra,Cusco,seca (mayo-octubre),"Genera un itinerario turístico personalizado para el Perú basado en el perfil del viajero. El itinerario debe incluir actividades por día, recomendaciones de transporte, alojamiento según presupuesto y tips culturales relevantes.","Turista de Lima, viaja grupo de amigos, 3 días, presupuesto bajo, intereses: aventura, región preferida: sierra, destino: Cusco, temporada: seca (mayo-octubre), idioma: español.","Día 1: Llegada y aclimatación. Plaza de Armas y San Blas.
Día 2: Sacsayhuamán y Qorikancha.
Día 3: Valle Sagrado: Pisac, Ollantaytambo.

Alojamiento sugerido: hostal económico (~$20-30/noche)
Tip para grupo de amigos: Los tours privados suelen salir más económicos en grupo.
Nota de temporada: Es la mejor época para trekking y fotografía. Reserva con anticipación.
Transporte recomendado: combis locales para presupuesto bajo; taxi/remisse para comodidad."
5,3,medio,relax,Lima,español,adultos mayores,sierra,Lago Titicaca,lluvia (noviembre-abril),"Genera un itinerario turístico personalizado para el Perú basado en el perfil del viajero. El itinerario debe incluir actividades por día, recomendaciones de transporte, alojamiento según presupuesto y tips culturales relevantes.","Turista de Lima, viaja adultos mayores, 3 días, presupuesto medio, intereses: relax, región preferida: sierra, destino: Lago Titicaca, temporada: lluvia (noviembre-abril), idioma: español.","Día 1: Llegada a Puno desde Cusco (tren o bus panorámico).
Día 2: Tour en bote a las Islas Flotantes de los Uros.
Día 3: Isla Taquile, almuerzo con vista al lago, textilería local.

Alojamiento sugerido: hotel 3 estrellas (~$60-90/noche)
Tip para adultos mayores: Prefiere rutas con poco desnivel y toma días de aclimatación extra.
Nota de temporada: Lleva ropa impermeable y evita rutas de alta montaña en días de lluvia intensa.
Transporte recomendado: combis locales para presupuesto bajo; taxi/remisse para comodidad."
6,3,medio,relax,Lima,español,grupo de amigos,costa,Mancora,lluvia (noviembre-abril),"Genera un itinerario turístico personalizado para el Perú basado en el perfil del viajero. El itinerario debe incluir actividades por día, recomendaciones de transporte, alojamiento según presupuesto y tips culturales relevantes.","Turista de Lima, viaja grupo de amigos, 3 días, presupuesto medio, intereses: relax, región preferida: costa, destino: Mancora, temporada: lluvia (noviembre-abril), idioma: español.","Día 1: Llegada a Máncora. Check-in y playa.
Día 2: Surf y kitesurf en la playa principal.
Día 3: Tour en lancha: avistamiento de tortugas y delfines.

Alojamiento sugerido: hotel 3 estrellas (~$60-90/noche)
Tip para grupo de amigos: Los tours privados suelen salir más económicos en grupo.
Nota de temporada: Lleva ropa impermeable y evita rutas de alta montaña en días de lluvia intensa.
Transporte recomendado: combis locales para presupuesto bajo; taxi/remisse para comodidad."
7,3,medio,cultura,Lima,español,familia con niños,sierra,Cusco,lluvia (noviembre-abril),"Genera un itinerario turístico personalizado para el Perú basado en el perfil del viajero. El itinerario debe incluir actividades por día, recomendaciones de transporte, alojamiento según presupuesto y tips culturales relevantes.","Turista de Lima, viaja familia con niños, 3 días, presupuesto medio, intereses: cultura, región preferida: sierra, destino: Cusco, temporada: lluvia (noviembre-abril), idioma: español.","Día 1: Llegada y aclimatación. Plaza de Armas y San Blas.
Día 2: Sacsayhuamán y Qorikancha.
Día 3: Valle Sagrado: Pisac, Ollantaytambo.

Alojamiento sugerido: hotel 3 estrellas (~$60-90/noche)
Tip para familia con niños: Elige actividades de bajo impacto físico y lleva snacks.
Nota de temporada: Lleva ropa impermeable y evita rutas de alta montaña en días de lluvia intensa.
Transporte recomendado: combis locales para presupuesto bajo; taxi/remisse para comodidad."
8,3,medio,cultura,Lima,español,adultos mayores,costa,Lima,lluvia (noviembre-abril),"Genera un itinerario turístico personalizado para el Perú basado en el perfil del viajero. El itinerario debe incluir actividades por día, recomendaciones de transporte, alojamiento según presupuesto y tips culturales relevantes.","Turista de Lima, viaja adultos mayores, 3 días, presupuesto medio, intereses: cultura, región preferida: costa, destino: Lima, temporada: lluvia (noviembre-abril), idioma: español.","Día 1: Llegada. Barranco y Miraflores: el Parque del Amor y la Huaca Pucllana.
Día 2: Centro Histórico: Plaza Mayor, Catedral y Larco Mar.
Día 3: Visita al Museo Larco y tarde de ceviche en el Mercado Surquillo.

Alojamiento sugerido: hotel 3 estrellas (~$60-90/noche)
Tip para adultos mayores: Prefiere rutas con poco desnivel y toma días de aclimatación extra.
Nota de temporada: Lleva ropa impermeable y evita rutas de alta montaña en días de lluvia intensa.
Transporte recomendado: combis locales para presupuesto bajo; taxi/remisse para comodidad."
9,3,alto,aventura,Lima,español,familia con niños,costa,Líneas de Nazca,seca (mayo-octubre),"Genera un itinerario turístico personalizado para el Perú basado en el perfil del viajero. El itinerario debe incluir actividades por día, recomendaciones de transporte, alojamiento según presupuesto y tips culturales relevantes.","Turista de Lima, viaja familia con niños, 3 días, presupuesto alto, intereses: aventura, región preferida: costa, destino: Líneas de Nazca, temporada: seca (mayo-octubre), idioma: español.","Día 1: Llegada y aclimatación. Plaza de Armas y San Blas.
Día 2: Sacsayhuamán y Qorikancha.
Día 3: Valle Sagrado: Pisac, Ollantaytambo.

Alojamiento sugerido: hotel boutique 4 estrellas (~$120-180/noche)
Tip para familia con niños: Elige actividades de bajo impacto físico y lleva snacks.
Nota de temporada: Es la mejor época para trekking y fotografía. Reserva con anticipación.
Transporte recomendado: combis locales para presupuesto bajo; taxi/remisse para comodidad."
10,3,alto,aventura,Lima,español,adultos mayores,todo el país,Machu Picchu + Lago Titicaca,lluvia (noviembre-abril),"Genera un itinerario turístico personalizado para el Perú basado en el perfil del viajero. El itinerario debe incluir actividades por día, recomendaciones de transporte, alojamiento según presupuesto y tips culturales relevantes.","Turista de Lima, viaja adultos mayores, 3 días, presupuesto alto, intereses: aventura, región preferida: todo el país, destino: Machu Picchu + Lago Titicaca, temporada: lluvia (noviembre-abril), idioma: español.","Día 1: Llegada a Cusco. Aclimatación, mate de coca, paseo por la Plaza de Armas.
Día 2: City tour Cusco: Sacsayhuamán, Qorikancha y Mercado de San Pedro.
Día 3: Tren a Aguas Calientes. Tarde libre explorando el pueblo.

Alojamiento sugerido: hotel boutique 4 estrellas (~$120-180/noche)
Tip para adultos mayores: Prefiere rutas con poco desnivel y toma días de aclimatación extra.
Nota de temporada: Lleva ropa impermeable y evita rutas de alta montaña en días de lluvia intensa.
Transporte recomendado: combis locales para presupuesto bajo; taxi/remisse para comodidad."
